file_name,label,y,site_name,status,client_ip,orig_len,post_skip_len,valid_len,n_packets_raw,n_packets_used,seq_len,skip_n,base_seq_len_before_handshake_removal,handshake_len_packets,source_base_name,cache_build_note,pcapng_status,pcapng_preprocess_ms,pcapng_n_directions_read
clear_sample_0001,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4206,4206,506,4206,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,6.774600129574537,526
clear_sample_0002,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1156,1156,506,1156,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,4.177900031208992,526
clear_sample_0003,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1093,1093,506,1093,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.353299926966429,526
clear_sample_0004,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1066,1066,506,1066,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.826399920508265,526
clear_sample_0005,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4157,4157,506,4157,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.980199927464128,526
clear_sample_0006,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4747,4747,506,4747,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,13.633999973535538,526
clear_sample_0007,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4078,4078,506,4078,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,11.640700045973064,526
clear_sample_0008,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1081,1081,506,1081,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,8.404599968343973,526
clear_sample_0009,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1206,1206,506,1206,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,9.367499966174364,526
clear_sample_0010,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1089,1089,506,1089,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",ok,10.063499910756946,526
