file_name,label,y,site_name,status,client_ip,orig_len,post_skip_len,valid_len,n_packets_raw,n_packets_used,seq_len,skip_n,base_seq_len_before_handshake_removal,handshake_len_packets,source_base_name,cache_build_note,input_condition
clear_sample_0001,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4206,4206,506,4206,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0002,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1156,1156,506,1156,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0003,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1093,1093,506,1093,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0004,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1066,1066,506,1066,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0005,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4157,4157,506,4157,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0006,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4747,4747,506,4747,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0007,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4078,4078,506,4078,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0008,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1081,1081,506,1081,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0009,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1206,1206,506,1206,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0010,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1089,1089,506,1089,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0011,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1237,1237,506,1237,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0012,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1102,1102,506,1102,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0013,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4474,4474,506,4474,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0014,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1093,1093,506,1093,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0015,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4790,4790,506,4790,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0016,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,6058,6058,506,6058,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0017,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4747,4747,506,4747,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0018,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,3338,3338,506,3338,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0019,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1243,1243,506,1243,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0020,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1154,1154,506,1154,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0021,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1124,1124,506,1124,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0022,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1099,1099,506,1099,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0023,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4533,4533,506,4533,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0024,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1076,1076,506,1076,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0025,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,2605,2605,506,2605,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0026,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1242,1242,506,1242,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0027,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1142,1142,506,1142,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0028,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1079,1079,506,1079,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0029,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1095,1095,506,1095,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0030,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1091,1091,506,1091,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0031,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4583,4583,506,4583,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0032,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1133,1133,506,1133,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0033,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5170,5170,506,5170,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0034,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5163,5163,506,5163,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0035,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4540,4540,506,4540,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0036,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1155,1155,506,1155,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0037,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5097,5097,506,5097,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0038,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5133,5133,506,5133,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0039,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4256,4256,506,4256,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0040,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,3402,3402,506,3402,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0041,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5028,5028,506,5028,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0042,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5224,5224,506,5224,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
clear_sample_0043,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1146,1146,506,1146,506,506,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",Handshake only
