file_name,label,y,site_name,status,client_ip,orig_len,post_skip_len,valid_len,n_packets_raw,n_packets_used,seq_len,skip_n,base_seq_len_before_handshake_removal,handshake_len_packets,source_base_name,cache_build_note,input_condition
clear_sample_0001,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4206,4206,1276,4206,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0002,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1156,1156,1156,1156,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0003,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1093,1093,1093,1093,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0004,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1066,1066,1066,1066,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0005,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4157,4157,1276,4157,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0006,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4747,4747,1276,4747,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0007,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4078,4078,1276,4078,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0008,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1081,1081,1081,1081,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0009,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1206,1206,1206,1206,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0010,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1089,1089,1089,1089,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0011,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1237,1237,1237,1237,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0012,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1102,1102,1102,1102,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0013,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4474,4474,1276,4474,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0014,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1093,1093,1093,1093,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0015,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4790,4790,1276,4790,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0016,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,6058,6058,1276,6058,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0017,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4747,4747,1276,4747,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0018,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,3338,3338,1276,3338,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0019,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1243,1243,1243,1243,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0020,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1154,1154,1154,1154,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0021,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1124,1124,1124,1124,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0022,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1099,1099,1099,1099,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0023,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4533,4533,1276,4533,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0024,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1076,1076,1076,1076,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0025,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,2605,2605,1276,2605,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0026,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1242,1242,1242,1242,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0027,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1142,1142,1142,1142,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0028,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1079,1079,1079,1079,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0029,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1095,1095,1095,1095,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0030,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1091,1091,1091,1091,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0031,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4583,4583,1276,4583,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0032,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1133,1133,1133,1133,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0033,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5170,5170,1276,5170,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0034,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5163,5163,1276,5163,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0035,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4540,4540,1276,4540,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0036,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1155,1155,1155,1155,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0037,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5097,5097,1276,5097,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0038,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5133,5133,1276,5133,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0039,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4256,4256,1276,4256,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0040,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,3402,3402,1276,3402,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0041,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5028,5028,1276,5028,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0042,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,5224,5224,1276,5224,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0043,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1146,1146,1146,1146,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0044,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1241,1241,1241,1241,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0045,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1124,1124,1124,1124,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0046,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1049,1049,1049,1049,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0047,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1175,1175,1175,1175,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0048,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1108,1108,1108,1108,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0049,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4093,4093,1276,4093,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0050,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4676,4676,1276,4676,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0051,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,2840,2840,1276,2840,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0052,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4207,4207,1276,4207,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0053,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1036,1036,1036,1036,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0054,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,3612,3612,1276,3612,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0055,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4293,4293,1276,4293,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0056,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1101,1101,1101,1101,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0057,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4846,4846,1276,4846,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0058,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1156,1156,1156,1156,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0059,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1109,1109,1109,1109,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0060,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1101,1101,1101,1101,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0061,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1028,1028,1028,1028,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0062,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1126,1126,1126,1126,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0063,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1123,1123,1123,1123,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0064,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4208,4208,1276,4208,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0065,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1108,1108,1108,1108,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0066,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1114,1114,1114,1114,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0067,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4167,4167,1276,4167,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0068,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1120,1120,1120,1120,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0069,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1119,1119,1119,1119,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0070,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1105,1105,1105,1105,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0071,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,4661,4661,1276,4661,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0072,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1142,1142,1142,1142,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0073,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1065,1065,1065,1065,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0074,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1137,1137,1137,1137,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
clear_sample_0075,clear,0,clear_site_01,ok,CLIENT_IP_REDACTED,1170,1170,1170,1170,506,1276,0,526,20,anonymized_direction_sequence_cache,"Post-handshake cache built as raw direction sequence[20:526], therefore fixed input length is 506.",10s_fixed_seq_len_1276_within_initial_20s
